BodyweightKg,BestSquatKg,BestDeadliftKg,RelativeSquatStrength,RelativeDeadliftStrength,Equipment_Raw,Equipment_Single-ply,Equipment_Wraps,Sex_M,AgeCategoryEncoded
74.0,142.5,215.0,1.9256756756756757,2.9054054054054053,0.0,0.0,1.0,0.0,1.0
67.45,137.5,130.0,2.0385470719051146,1.927353595255745,0.0,0.0,1.0,0.0,2.0
79.6,207.5,292.5,2.6067839195979903,3.67462311557789,0.0,0.0,1.0,1.0,2.0
62.84,150.0,172.5,2.387014640356461,2.7450668364099298,1.0,0.0,0.0,1.0,2.0
62.32,142.5,170.0,2.2865853658536586,2.7278562259306804,1.0,0.0,0.0,1.0,0.0
99.43,167.83,235.87,1.6879211505581817,2.3722216634818465,0.0,0.0,1.0,1.0,2.0
120.0,182.5,220.0,1.5208333333333333,1.8333333333333333,1.0,0.0,0.0,1.0,3.0
67.2,110.0,110.0,1.6369047619047619,1.6369047619047619,1.0,0.0,0.0,1.0,1.0
112.6,265.0,290.0,2.3534635879218473,2.575488454706927,1.0,0.0,0.0,0.0,2.0
71.6,152.5,182.5,2.129888268156425,2.548882681564246,0.0,0.0,1.0,1.0,2.0
74.93,158.76,197.31,2.1187775256906445,2.6332577071933803,1.0,0.0,0.0,1.0,5.0
96.5,205.0,217.5,2.1243523316062176,2.2538860103626943,1.0,0.0,0.0,0.0,0.0
138.5,320.0,320.0,2.3104693140794224,2.3104693140794224,0.0,1.0,0.0,0.0,2.0
68.1,120.0,130.0,1.762114537444934,1.9089574155653453,1.0,0.0,0.0,1.0,2.0
95.84,157.5,222.5,1.643363939899833,2.3215776293823036,1.0,0.0,0.0,1.0,2.0
113.4,242.5,250.0,2.138447971781305,2.204585537918871,0.0,1.0,0.0,0.0,2.0
58.89,165.0,162.5,2.8018339276617423,2.759381898454746,0.0,1.0,0.0,1.0,2.0
51.25,117.5,135.0,2.292682926829268,2.6341463414634148,1.0,0.0,0.0,0.0,2.0
58.9,160.0,215.0,2.7164685908319184,3.6502546689303905,1.0,0.0,0.0,1.0,1.0
51.6,112.5,142.5,2.1802325581395348,2.761627906976744,0.0,0.0,1.0,1.0,2.0
87.9,297.5,280.0,3.38452787258248,3.1854379977246867,1.0,0.0,0.0,1.0,2.0
65.6,77.5,115.0,1.1814024390243902,1.753048780487805,0.0,0.0,1.0,1.0,2.0
74.1,197.5,182.5,2.66531713900135,2.4628879892037787,0.0,0.0,1.0,1.0,4.0
